capacity,threshold,lru_hit_rate,lfu_hit_rate,smartedge_hit_rate,vs_lru,vs_lfu,admissions,rejected,evictions,cache_size,average_probability,average_expected_value
150,0.5,66.86999999999999,70.96000000000001,70.93,4.0600000000000165,-0.030000000000001137,474,2433,324,150,0.7462934889614067,2.1465476182061902
150,0.6,66.86999999999999,70.96000000000001,70.45,3.5800000000000125,-0.5100000000000051,382,2573,232,150,0.7462934889614067,2.1465476182061902
150,0.7,66.86999999999999,70.96000000000001,69.83,2.960000000000008,-1.1300000000000097,287,2730,137,150,0.7462934889614067,2.1465476182061902
150,0.8,66.86999999999999,70.96000000000001,68.78999999999999,1.9200000000000017,-2.170000000000016,229,2892,79,150,0.7462934889614067,2.1465476182061902
150,0.9,66.86999999999999,70.96000000000001,66.57,-0.29999999999999716,-4.390000000000015,173,3170,23,150,0.7462934889614067,2.1465476182061902
200,0.1,70.95,73.92999999999999,75.14,4.189999999999998,1.210000000000008,1241,1245,1041,200,0.7462934889614067,2.1465476182061902
200,0.2,70.95,73.92999999999999,74.48,3.530000000000001,0.5500000000000114,826,1726,626,200,0.7462934889614067,2.1465476182061902
200,0.3,70.95,73.92999999999999,73.82,2.8699999999999903,-0.10999999999999943,607,2011,407,200,0.7462934889614067,2.1465476182061902
200,0.4,70.95,73.92999999999999,73.32,2.3699999999999903,-0.6099999999999994,454,2214,254,200,0.7462934889614067,2.1465476182061902
200,0.5,70.95,73.92999999999999,73.05,2.0999999999999943,-0.8799999999999955,354,2341,154,200,0.7462934889614067,2.1465476182061902
200,0.6,70.95,73.92999999999999,72.26,1.3100000000000023,-1.6699999999999875,306,2468,106,200,0.7462934889614067,2.1465476182061902
200,0.7,70.95,73.92999999999999,71.3,0.3499999999999943,-2.6299999999999955,241,2629,41,200,0.7462934889614067,2.1465476182061902
200,0.8,70.95,73.92999999999999,69.76,-1.1899999999999977,-4.1699999999999875,202,2822,2,200,0.7462934889614067,2.1465476182061902
200,0.9,70.95,73.92999999999999,66.82000000000001,-4.1299999999999955,-7.109999999999985,169,3149,0,169,0.7462934889614067,2.1465476182061902
300,0.1,76.7,79.09,79.34,2.6400000000000006,0.25,1049,1017,749,300,0.7462934889614067,2.1465476182061902
300,0.2,76.7,79.09,77.84,1.1400000000000006,-1.25,561,1655,261,300,0.7462934889614067,2.1465476182061902
300,0.3,76.7,79.09,76.51,-0.18999999999999773,-2.5799999999999983,422,1927,122,300,0.7462934889614067,2.1465476182061902
300,0.4,76.7,79.09,75.3,-1.4000000000000057,-3.7900000000000063,351,2119,51,300,0.7462934889614067,2.1465476182061902
300,0.5,76.7,79.09,74.45,-2.25,-4.640000000000001,307,2248,7,300,0.7462934889614067,2.1465476182061902
300,0.6,76.7,79.09,73.22999999999999,-3.470000000000013,-5.860000000000014,280,2397,0,280,0.7462934889614067,2.1465476182061902
300,0.7,76.7,79.09,71.56,-5.140000000000001,-7.530000000000001,235,2609,0,235,0.7462934889614067,2.1465476182061902
300,0.8,76.7,79.09,69.78,-6.920000000000002,-9.310000000000002,202,2820,0,202,0.7462934889614067,2.1465476182061902
300,0.9,76.7,79.09,66.82000000000001,-9.879999999999995,-12.269999999999996,169,3149,0,169,0.7462934889614067,2.1465476182061902
500,0.1,81.8,82.78999999999999,82.8,1.0,0.010000000000005116,796,924,296,500,0.7462934889614067,2.1465476182061902
500,0.2,81.8,82.78999999999999,79.19,-2.6099999999999994,-3.5999999999999943,465,1616,0,465,0.7462934889614067,2.1465476182061902
500,0.3,81.8,82.78999999999999,77.06,-4.739999999999995,-5.72999999999999,396,1898,0,396,0.7462934889614067,2.1465476182061902
500,0.4,81.8,82.78999999999999,75.49,-6.310000000000002,-7.299999999999997,347,2104,0,347,0.7462934889614067,2.1465476182061902
500,0.5,81.8,82.78999999999999,74.46000000000001,-7.339999999999989,-8.329999999999984,307,2247,0,307,0.7462934889614067,2.1465476182061902
500,0.6,81.8,82.78999999999999,73.22999999999999,-8.570000000000007,-9.560000000000002,280,2397,0,280,0.7462934889614067,2.1465476182061902
500,0.7,81.8,82.78999999999999,71.56,-10.239999999999995,-11.22999999999999,235,2609,0,235,0.7462934889614067,2.1465476182061902
500,0.8,81.8,82.78999999999999,69.78,-12.019999999999996,-13.009999999999991,202,2820,0,202,0.7462934889614067,2.1465476182061902
500,0.9,81.8,82.78999999999999,66.82000000000001,-14.97999999999999,-15.969999999999985,169,3149,0,169,0.7462934889614067,2.1465476182061902
